nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
3  56 1.309290  162.017820 3.625374 247.436228 3.186701 0.000000
3  57 1.309290  166.762178 3.621848 251.512677 3.040259 0.000000
3  58 1.309290  171.555391 3.700001 255.423351 2.933473 0.000000
3  59 1.309290  176.532315 3.902476 259.285634 2.966339 0.000000
3  60 1.309290  181.580500 3.808856 262.964667 2.653551 0.000000
3  61 1.309290  186.528207 3.748990 266.278062 2.407810 0.000000
3  62 1.309290  190.075291 1.473190 270.876401 4.370075 0.000000
3  63 1.309290  189.957155 -1.652938 276.667068 4.149548 0.000000
3  64 1.309290  186.025756 -4.147575 280.949981 2.152691 0.000000
3  65 1.309290  179.982592 -4.757198 281.798548 -0.906279 0.000000
3  66 1.309290  174.615679 -3.143279 278.691962 -3.670452 0.000000
3  67 1.309290  172.164408 -0.474212 273.052384 -4.627246 0.000000
3  68 1.309290  173.386361 2.267404 267.222767 -3.957364 0.000000
3  69 1.309290  177.707068 4.091045 263.336243 -1.766193 0.000000
3  70 1.309290  183.505003 4.451695 262.821556 1.005220 0.000000
3  71 1.309290  188.510363 2.919183 265.771851 3.333087 0.000000
3  72 1.309290  190.782068 0.431345 271.104698 4.523733 0.000000
3  73 1.309290  189.457974 -2.380046 276.756597 3.797304 0.000000
3  74 1.309290  185.023991 -4.147538 280.562143 1.815826 0.000000
3  75 1.309290  179.118946 -4.553908 281.295348 -0.723095 0.000000
3  76 1.309290  174.000415 -2.976594 278.490720 -3.409257 0.000000
3  77 1.309290  171.917020 -0.084171 273.228433 -4.333376 0.000000
3  78 1.309290  173.524345 2.446615 267.912692 -3.494790 0.000000
3  79 1.309290  177.871625 3.950943 264.583555 -1.412357 0.000000
3  80 1.309290  183.400860 4.198760 264.426814 1.177671 0.000000
3  81 1.309290  188.023271 2.607988 267.598929 3.493684 0.000000
3  82 1.309290  189.718135 -0.114141 272.956747 4.397601 0.000000
3  83 1.309290  187.748421 -2.787139 278.355380 3.557394 0.000000
3  84 1.309290  182.849030 -4.429587 281.367299 0.868736 0.000000
3  85 1.309290  176.988564 -4.206409 280.502614 -2.147073 0.000000
